Meldedatum;BundeslandID;Bundesland;NormalBettenBelCovid19;IntensivBettenKapGes;IntensivBettenBelCovid19;IntensivBettenBelNichtCovid19;IntensivBettenFrei;TestGesamt
24.01.2021 00:00:00;1;Burgenland;38;52;7;37;8;361192
24.01.2021 00:00:00;2;Kärnten;72;168;9;123;36;429539
24.01.2021 00:00:00;3;Niederösterreich;359;337;53;163;121;2111482
24.01.2021 00:00:00;4;Oberösterreich;240;250;38;125;87;1184481
24.01.2021 00:00:00;5;Salzburg;97;137;22;80;35;471712
24.01.2021 00:00:00;6;Steiermark;223;359;48;182;129;901237
24.01.2021 00:00:00;7;Tirol;97;192;31;103;58;896047
24.01.2021 00:00:00;8;Vorarlberg;46;52;12;26;14;500945
24.01.2021 00:00:00;9;Wien;346;286;103;0;0;1878487
24.01.2021 00:00:00;10;Österreich;1518;1833;323;839;671;8735122
25.01.2021 00:00:00;1;Burgenland;43;52;6;35;11;363324
25.01.2021 00:00:00;2;Kärnten;81;168;10;122;36;431300
25.01.2021 00:00:00;3;Niederösterreich;359;337;54;162;121;2120739
25.01.2021 00:00:00;4;Oberösterreich;243;250;39;129;82;1209927
25.01.2021 00:00:00;5;Salzburg;103;137;21;88;28;472757
25.01.2021 00:00:00;6;Steiermark;228;359;50;182;127;912384
25.01.2021 00:00:00;7;Tirol;102;192;32;100;60;901684
25.01.2021 00:00:00;8;Vorarlberg;47;52;12;25;15;502892
25.01.2021 00:00:00;9;Wien;342;280;97;0;0;1887820
25.01.2021 00:00:00;10;Österreich;1548;1827;321;843;663;8802827
26.01.2021 00:00:00;1;Burgenland;41;52;5;32;15;366055
26.01.2021 00:00:00;2;Kärnten;89;168;9;129;30;441746
26.01.2021 00:00:00;3;Niederösterreich;367;337;53;170;114;2124498
26.01.2021 00:00:00;4;Oberösterreich;237;250;37;134;79;1225159
26.01.2021 00:00:00;5;Salzburg;101;139;20;96;23;492193
26.01.2021 00:00:00;6;Steiermark;239;359;48;193;118;936367
26.01.2021 00:00:00;7;Tirol;111;192;29;118;45;908278
26.01.2021 00:00:00;8;Vorarlberg;41;52;12;27;13;507027
26.01.2021 00:00:00;9;Wien;357;299;100;0;0;1904760
26.01.2021 00:00:00;10;Österreich;1583;1848;313;899;636;8906083
27.01.2021 00:00:00;1;Burgenland;31;52;8;29;15;367437
27.01.2021 00:00:00;2;Kärnten;87;168;9;126;33;442367
27.01.2021 00:00:00;3;Niederösterreich;357;337;53;176;108;2136895
27.01.2021 00:00:00;4;Oberösterreich;220;250;37;143;70;1245258
27.01.2021 00:00:00;5;Salzburg;97;137;17;91;29;497159
27.01.2021 00:00:00;6;Steiermark;226;359;44;203;112;953366
27.01.2021 00:00:00;7;Tirol;102;192;26;117;49;914163
27.01.2021 00:00:00;8;Vorarlberg;41;52;11;27;14;513570
27.01.2021 00:00:00;9;Wien;365;272;99;0;0;1926929
27.01.2021 00:00:00;10;Österreich;1526;1819;304;912;603;8997144
28.01.2021 00:00:00;1;Burgenland;35;52;9;31;12;370933
28.01.2021 00:00:00;2;Kärnten;85;168;10;127;31;442908
28.01.2021 00:00:00;3;Niederösterreich;341;337;53;176;108;2145980
28.01.2021 00:00:00;4;Oberösterreich;208;250;32;149;69;1272766
28.01.2021 00:00:00;5;Salzburg;88;137;18;87;32;501870
28.01.2021 00:00:00;6;Steiermark;227;359;43;202;114;967699
28.01.2021 00:00:00;7;Tirol;91;192;28;114;50;920422
28.01.2021 00:00:00;8;Vorarlberg;36;52;11;31;10;519339
28.01.2021 00:00:00;9;Wien;367;275;100;0;0;1947671
28.01.2021 00:00:00;10;Österreich;1478;1822;304;917;601;9089588
29.01.2021 00:00:00;1;Burgenland;30;52;9;28;15;373613
29.01.2021 00:00:00;2;Kärnten;81;168;9;124;35;451498
29.01.2021 00:00:00;3;Niederösterreich;330;337;52;188;97;2154156
29.01.2021 00:00:00;4;Oberösterreich;188;250;34;157;59;1284990
29.01.2021 00:00:00;5;Salzburg;87;137;19;93;25;506813
29.01.2021 00:00:00;6;Steiermark;217;359;37;204;118;978212
29.01.2021 00:00:00;7;Tirol;86;192;30;112;50;925227
29.01.2021 00:00:00;8;Vorarlberg;41;52;9;34;9;524937
29.01.2021 00:00:00;9;Wien;368;271;96;0;0;1961170
29.01.2021 00:00:00;10;Österreich;1428;1818;295;940;583;9160616
30.01.2021 00:00:00;1;Burgenland;36;52;8;31;13;385984
30.01.2021 00:00:00;2;Kärnten;82;168;8;130;30;452148
30.01.2021 00:00:00;3;Niederösterreich;317;337;56;173;108;2162851
30.01.2021 00:00:00;4;Oberösterreich;160;250;33;150;67;1298759
30.01.2021 00:00:00;5;Salzburg;88;138;19;93;26;514521
30.01.2021 00:00:00;6;Steiermark;199;359;39;200;120;994793
30.01.2021 00:00:00;7;Tirol;96;192;30;118;44;954467
30.01.2021 00:00:00;8;Vorarlberg;40;52;10;28;14;531560
30.01.2021 00:00:00;9;Wien;367;279;94;0;0;1990992
30.01.2021 00:00:00;10;Österreich;1385;1827;297;923;607;9286075
31.01.2021 00:00:00;1;Burgenland;36;52;7;30;15;388800
31.01.2021 00:00:00;2;Kärnten;80;168;7;130;31;452572
31.01.2021 00:00:00;3;Niederösterreich;316;337;55;157;125;2169282
31.01.2021 00:00:00;4;Oberösterreich;160;250;35;145;70;1308615
31.01.2021 00:00:00;5;Salzburg;88;137;20;78;39;517081
31.01.2021 00:00:00;6;Steiermark;207;359;36;189;134;1002589
31.01.2021 00:00:00;7;Tirol;98;189;31;106;52;960220
31.01.2021 00:00:00;8;Vorarlberg;42;52;9;26;17;536247
31.01.2021 00:00:00;9;Wien;360;279;97;0;0;2020373
31.01.2021 00:00:00;10;Österreich;1387;1823;297;861;665;9355779
01.02.2021 00:00:00;1;Burgenland;33;52;8;30;14;391679
01.02.2021 00:00:00;2;Kärnten;85;168;9;127;32;455645
01.02.2021 00:00:00;3;Niederösterreich;330;337;54;169;114;2175497
01.02.2021 00:00:00;4;Oberösterreich;164;250;34;135;81;1377713
01.02.2021 00:00:00;5;Salzburg;99;138;20;75;43;517757
01.02.2021 00:00:00;6;Steiermark;216;359;39;193;127;1003509
01.02.2021 00:00:00;7;Tirol;98;189;34;102;53;965580
01.02.2021 00:00:00;8;Vorarlberg;42;52;9;24;19;538320
01.02.2021 00:00:00;9;Wien;366;255;87;0;0;2056132
01.02.2021 00:00:00;10;Österreich;1433;1800;294;855;651;9481832
02.02.2021 00:00:00;1;Burgenland;35;52;8;30;14;399066
02.02.2021 00:00:00;2;Kärnten;81;168;9;124;35;464807
02.02.2021 00:00:00;3;Niederösterreich;347;337;53;181;103;2177589
02.02.2021 00:00:00;4;Oberösterreich;151;250;31;153;66;1382880
02.02.2021 00:00:00;5;Salzburg;107;138;22;83;33;533522
02.02.2021 00:00:00;6;Steiermark;217;359;41;201;117;1017663
02.02.2021 00:00:00;7;Tirol;97;191;30;115;46;971153
02.02.2021 00:00:00;8;Vorarlberg;36;52;9;32;11;538751
02.02.2021 00:00:00;9;Wien;358;255;97;0;0;2077798
02.02.2021 00:00:00;10;Österreich;1429;1802;300;919;583;9563229
03.02.2021 00:00:00;1;Burgenland;34;52;8;32;12;402624
03.02.2021 00:00:00;2;Kärnten;77;168;9;125;34;473469
03.02.2021 00:00:00;3;Niederösterreich;322;337;54;187;96;2282315
03.02.2021 00:00:00;4;Oberösterreich;156;250;31;139;80;1385428
03.02.2021 00:00:00;5;Salzburg;102;137;20;86;31;539755
03.02.2021 00:00:00;6;Steiermark;218;361;39;213;109;1029004
03.02.2021 00:00:00;7;Tirol;98;191;31;120;40;977165
03.02.2021 00:00:00;8;Vorarlberg;35;52;9;33;10;549994
03.02.2021 00:00:00;9;Wien;341;259;102;0;0;2105372
03.02.2021 00:00:00;10;Österreich;1383;1807;303;935;569;9745126
04.02.2021 00:00:00;1;Burgenland;32;52;6;32;14;407041
04.02.2021 00:00:00;2;Kärnten;81;168;9;123;36;474067
04.02.2021 00:00:00;3;Niederösterreich;305;337;50;184;103;2292153
04.02.2021 00:00:00;4;Oberösterreich;143;250;26;155;69;1418224
04.02.2021 00:00:00;5;Salzburg;100;137;19;83;35;545845
04.02.2021 00:00:00;6;Steiermark;221;361;41;220;100;1041514
04.02.2021 00:00:00;7;Tirol;101;187;33;118;36;982658
04.02.2021 00:00:00;8;Vorarlberg;29;52;10;27;15;557221
04.02.2021 00:00:00;9;Wien;330;267;104;0;0;2134705
04.02.2021 00:00:00;10;Österreich;1342;1811;298;942;571;9853428
05.02.2021 00:00:00;1;Burgenland;31;52;6;28;18;413852
05.02.2021 00:00:00;2;Kärnten;80;168;8;115;45;474728
05.02.2021 00:00:00;3;Niederösterreich;300;337;59;168;110;2302093
05.02.2021 00:00:00;4;Oberösterreich;131;250;27;155;68;1430280
05.02.2021 00:00:00;5;Salzburg;100;137;17;93;27;552424
05.02.2021 00:00:00;6;Steiermark;221;361;38;225;98;1055337
05.02.2021 00:00:00;7;Tirol;98;187;32;121;34;989181
05.02.2021 00:00:00;8;Vorarlberg;31;52;8;27;17;564752
05.02.2021 00:00:00;9;Wien;312;270;105;0;0;2157987
05.02.2021 00:00:00;10;Österreich;1304;1814;300;932;582;9940634
06.02.2021 00:00:00;1;Burgenland;30;52;6;30;16;420976
06.02.2021 00:00:00;2;Kärnten;78;168;8;115;45;481869
06.02.2021 00:00:00;3;Niederösterreich;314;337;58;163;116;2312275
06.02.2021 00:00:00;4;Oberösterreich;116;250;30;150;70;1475659
06.02.2021 00:00:00;5;Salzburg;99;138;15;93;30;562367
06.02.2021 00:00:00;6;Steiermark;227;361;42;212;107;1073627
06.02.2021 00:00:00;7;Tirol;93;187;28;114;45;996222
06.02.2021 00:00:00;8;Vorarlberg;26;52;5;29;18;573233
06.02.2021 00:00:00;9;Wien;306;296;108;0;0;2204295
06.02.2021 00:00:00;10;Österreich;1289;1841;300;906;635;10100523
07.02.2021 00:00:00;1;Burgenland;32;52;6;29;17;427284
07.02.2021 00:00:00;2;Kärnten;75;168;7;115;46;482299
07.02.2021 00:00:00;3;Niederösterreich;292;337;56;162;119;2410584
07.02.2021 00:00:00;4;Oberösterreich;119;250;29;143;78;1507402
07.02.2021 00:00:00;5;Salzburg;97;137;14;64;59;567109
07.02.2021 00:00:00;6;Steiermark;227;361;40;198;123;1092245
07.02.2021 00:00:00;7;Tirol;98;187;26;109;52;1014160
07.02.2021 00:00:00;8;Vorarlberg;24;52;5;25;22;579703
07.02.2021 00:00:00;9;Wien;311;276;102;0;0;2232384
07.02.2021 00:00:00;10;Österreich;1275;1820;285;845;690;10313170
08.02.2021 00:00:00;1;Burgenland;34;52;5;29;18;432914
08.02.2021 00:00:00;2;Kärnten;73;168;8;122;38;485878
08.02.2021 00:00:00;3;Niederösterreich;298;337;54;164;119;2433779
08.02.2021 00:00:00;4;Oberösterreich;131;250;27;146;77;1532577
08.02.2021 00:00:00;5;Salzburg;97;137;15;70;52;567720
08.02.2021 00:00:00;6;Steiermark;233;361;42;213;106;1111689
08.02.2021 00:00:00;7;Tirol;96;187;27;107;53;1026903
08.02.2021 00:00:00;8;Vorarlberg;26;52;3;26;23;583606
08.02.2021 00:00:00;9;Wien;311;273;100;0;0;2267092
08.02.2021 00:00:00;10;Österreich;1299;1817;281;877;659;10442158
09.02.2021 00:00:00;1;Burgenland;28;52;5;29;18;436790
09.02.2021 00:00:00;2;Kärnten;77;168;8;120;40;501757
09.02.2021 00:00:00;3;Niederösterreich;296;337;54;187;96;2479223
09.02.2021 00:00:00;4;Oberösterreich;126;250;28;157;65;1568838
09.02.2021 00:00:00;5;Salzburg;95;137;13;85;39;594275
09.02.2021 00:00:00;6;Steiermark;250;360;40;206;114;1220651
09.02.2021 00:00:00;7;Tirol;94;187;26;117;44;1045442
09.02.2021 00:00:00;8;Vorarlberg;29;52;2;35;15;594613
09.02.2021 00:00:00;9;Wien;323;280;103;0;0;2311180
09.02.2021 00:00:00;10;Österreich;1318;1823;279;936;608;10752769
10.02.2021 00:00:00;1;Burgenland;41;52;5;28;19;445042
10.02.2021 00:00:00;2;Kärnten;76;168;8;124;36;508471
10.02.2021 00:00:00;3;Niederösterreich;285;337;56;175;106;2530636
10.02.2021 00:00:00;4;Oberösterreich;124;250;27;149;74;1601073
10.02.2021 00:00:00;5;Salzburg;84;137;12;95;30;609044
10.02.2021 00:00:00;6;Steiermark;233;352;38;214;100;1251594
10.02.2021 00:00:00;7;Tirol;81;187;25;114;48;1059325
10.02.2021 00:00:00;8;Vorarlberg;22;52;4;34;14;608080
10.02.2021 00:00:00;9;Wien;316;247;90;0;0;2360705
10.02.2021 00:00:00;10;Österreich;1262;1782;265;933;584;10973970
11.02.2021 00:00:00;1;Burgenland;38;52;6;27;19;455925
11.02.2021 00:00:00;2;Kärnten;77;168;9;120;39;525407
11.02.2021 00:00:00;3;Niederösterreich;283;337;55;178;104;2588795
11.02.2021 00:00:00;4;Oberösterreich;122;250;23;165;62;1616847
11.02.2021 00:00:00;5;Salzburg;86;137;13;91;33;622985
11.02.2021 00:00:00;6;Steiermark;220;352;39;206;107;1285524
11.02.2021 00:00:00;7;Tirol;63;189;21;124;44;1071314
11.02.2021 00:00:00;8;Vorarlberg;20;52;5;25;22;621458
11.02.2021 00:00:00;9;Wien;303;256;94;0;0;2417196
11.02.2021 00:00:00;10;Österreich;1212;1793;265;936;592;11205451
12.02.2021 00:00:00;1;Burgenland;33;52;6;29;17;463144
12.02.2021 00:00:00;2;Kärnten;74;168;7;129;32;525887
12.02.2021 00:00:00;3;Niederösterreich;275;337;57;182;98;2630551
12.02.2021 00:00:00;4;Oberösterreich;120;250;20;165;65;1644551
12.02.2021 00:00:00;5;Salzburg;80;138;14;88;36;636924
12.02.2021 00:00:00;6;Steiermark;211;352;38;206;108;1312825
12.02.2021 00:00:00;7;Tirol;67;187;21;118;48;1087800
12.02.2021 00:00:00;8;Vorarlberg;21;52;6;28;18;635707
12.02.2021 00:00:00;9;Wien;270;259;94;0;0;2471777
12.02.2021 00:00:00;10;Österreich;1151;1795;263;945;587;11409166
13.02.2021 00:00:00;1;Burgenland;35;52;6;30;16;474483
13.02.2021 00:00:00;2;Kärnten;72;168;7;127;34;526652
13.02.2021 00:00:00;3;Niederösterreich;253;337;57;180;100;2691395
13.02.2021 00:00:00;4;Oberösterreich;109;250;16;164;70;1670229
13.02.2021 00:00:00;5;Salzburg;67;138;12;90;36;651739
13.02.2021 00:00:00;6;Steiermark;189;352;39;208;105;1342383
13.02.2021 00:00:00;7;Tirol;62;187;22;116;49;1099796
