"Region";"Dato";"Indlæggelser"
Hovedstaden;2020-03-01;1
Hovedstaden;2020-03-03;1
Hovedstaden;2020-03-05;1
Hovedstaden;2020-03-06;3
Sjælland;2020-03-06;1
Hovedstaden;2020-03-08;3
Hovedstaden;2020-03-09;3
Sjælland;2020-03-09;6
Hovedstaden;2020-03-10;6
Midtjylland;2020-03-10;3
Sjælland;2020-03-10;5
Syddanmark;2020-03-10;1
Hovedstaden;2020-03-11;4
Sjælland;2020-03-11;4
Syddanmark;2020-03-11;2
Hovedstaden;2020-03-12;3
Midtjylland;2020-03-12;7
Nordjylland;2020-03-12;1
Sjælland;2020-03-12;6
Syddanmark;2020-03-12;1
Hovedstaden;2020-03-13;13
Midtjylland;2020-03-13;7
Nordjylland;2020-03-13;1
Sjælland;2020-03-13;2
Syddanmark;2020-03-13;3
Hovedstaden;2020-03-14;9
Midtjylland;2020-03-14;3
Nordjylland;2020-03-14;3
Sjælland;2020-03-14;6
Syddanmark;2020-03-14;3
Hovedstaden;2020-03-15;18
Midtjylland;2020-03-15;4
Nordjylland;2020-03-15;3
Sjælland;2020-03-15;5
Syddanmark;2020-03-15;3
Hovedstaden;2020-03-16;23
Midtjylland;2020-03-16;3
Nordjylland;2020-03-16;2
Sjælland;2020-03-16;12
Syddanmark;2020-03-16;5
Hovedstaden;2020-03-17;25
Midtjylland;2020-03-17;6
Nordjylland;2020-03-17;3
Sjælland;2020-03-17;8
Syddanmark;2020-03-17;5
Hovedstaden;2020-03-18;21
Midtjylland;2020-03-18;4
Nordjylland;2020-03-18;4
Sjælland;2020-03-18;13
Syddanmark;2020-03-18;5
Hovedstaden;2020-03-19;29
Midtjylland;2020-03-19;4
Nordjylland;2020-03-19;5
Sjælland;2020-03-19;6
Syddanmark;2020-03-19;6
Hovedstaden;2020-03-20;33
Midtjylland;2020-03-20;5
Nordjylland;2020-03-20;2
Sjælland;2020-03-20;14
Syddanmark;2020-03-20;10
Hovedstaden;2020-03-21;14
Midtjylland;2020-03-21;4
Nordjylland;2020-03-21;2
Sjælland;2020-03-21;10
