"Uge";"Aldersgruppe";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nyindlagte pr. 100.000 borgere";"Antal testede";"Antal positive"
2020-U04;00-02;0;0;0,0;0;0
2020-U04;03-05;0;0;0,0;0;0
2020-U04;06-11;0;0;0,0;0;0
2020-U04;12-15;0;0;0,0;0;0
2020-U04;16-19;0;0;0,0;0;0
2020-U04;20-39;0;0;0,0;0;0
2020-U04;40-64;0;0;0,0;0;0
2020-U04;65-79;0;0;0,0;0;0
2020-U04;80+;0;0;0,0;0;0
2020-U05;65-79;0;0;0,0;1;0
2020-U07;40-64;0;0;0,0;1;0
2020-U08;20-39;0;0;0,0;5;0
2020-U08;40-64;0;0;0,0;1;0
2020-U09;00-02;3;0;0,0;6;0
2020-U09;03-05;4;0;0,0;7;0
2020-U09;06-11;12;0;0,0;45;0
2020-U09;12-15;16;0;0,4;44;1
2020-U09;16-19;13;0;0,0;36;0
2020-U09;20-39;5;0;0,0;73;0
2020-U09;40-64;6;0;0,0;110;3
2020-U09;65-79;1;0;0,0;6;0
2020-U09;80+;1;0;0,0;2;0
2020-U10;00-02;12;0;0,0;22;0
2020-U10;03-05;14;0;0,0;26;0
2020-U10;06-11;16;0;0,0;61;0
2020-U10;12-15;14;0;0,0;38;1
2020-U10;16-19;18;1;0,0;50;2
2020-U10;20-39;15;2;0,1;219;25
2020-U10;40-64;17;2;0,3;330;44
2020-U10;65-79;3;0;0,0;28;4
2020-U10;80+;5;1;1,1;13;4
2020-U11;00-02;92;2;1,1;172;4
2020-U11;03-05;39;0;0,0;71;0
2020-U11;06-11;36;2;0,3;140;7
2020-U11;12-15;37;3;0,4;100;8
2020-U11;16-19;69;8;0,4;191;21
2020-U11;20-39;90;17;0,8;1335;258
2020-U11;40-64;95;24;3,2;1823;458
2020-U11;65-79;77;6;4,0;683;49
2020-U11;80+;143;8;7,6;395;22
2020-U12;00-02;159;1;0,0;298;2
2020-U12;03-05;38;0;0,0;69;0
2020-U12;06-11;12;0;0,0;48;1
2020-U12;12-15;15;0;0,0;40;0
2020-U12;16-19;31;0;0,0;87;1
2020-U12;20-39;108;5;1,5;1605;75
2020-U12;40-64;148;12;5,4;2825;230
2020-U12;65-79;163;17;13,5;1452;153
2020-U12;80+;314;32;30,2;863;89
2020-U13;00-02;133;3;1,1;249;5
2020-U13;03-05;21;0;0,0;38;0
2020-U13;06-11;18;0;0,0;68;0
2020-U13;12-15;26;1;0,7;70;3
2020-U13;16-19;51;3;1,4;143;9
2020-U13;20-39;149;12;1,8;2207;174
2020-U13;40-64;214;26;9,0;4089;493
2020-U13;65-79;215;34;26,8;1918;307
2020-U13;80+;418;51;39,2;1152;141
2020-U14;00-02;235;4;1,1;440;7
2020-U14;03-05;96;1;0,5;175;2
2020-U14;06-11;89;3;0,0;343;13
2020-U14;12-15;106;4;0,0;289;12
2020-U14;16-19;185;12;0,7;513;32
2020-U14;20-39;476;37;2,0;7066;549
2020-U14;40-64;685;54;7,3;13107;1037
2020-U14;65-79;441;32;14,4;3930;281
2020-U14;80+;777;76;36,0;2140;210
2020-U15;00-02;289;6;1,1;541;11
2020-U15;03-05;175;3;0,0;320;5
2020-U15;06-11;139;5;0,0;533;21
2020-U15;12-15;139;7;0,4;381;18
2020-U15;16-19;255;17;0,0;709;48
2020-U15;20-39;495;34;1,4;7346;509
2020-U15;40-64;624;37;5,0;11941;708
2020-U15;65-79;435;21;7,9;3881;185
2020-U15;80+;636;46;25,3;1757;128
2020-U16;00-02;330;4;0,5;617;8
2020-U16;03-05;205;1;0,0;375;2
2020-U16;06-11;229;5;0,0;879;18
2020-U16;12-15;149;5;0,4;407;15
2020-U16;16-19;285;10;0,4;793;28
2020-U16;20-39;476;24;1,1;7072;352
2020-U16;40-64;615;27;3,9;11766;507
2020-U16;65-79;446;13;7,1;3980;117
2020-U16;80+;748;46;23,9;2068;126
2020-U17;00-02;840;2;1,1;1572;3
2020-U17;03-05;634;5;0,0;1162;10
2020-U17;06-11;724;8;0,0;2777;31
2020-U17;12-15;489;8;0,4;1338;23
2020-U17;16-19;711;17;0,7;1975;48
2020-U17;20-39;1383;27;0,9;20532;396
2020-U17;40-64;1778;26;2,9;34008;488
2020-U17;65-79;1115;17;6,8;9939;150
2020-U17;80+;1664;50;26,4;4598;138
2020-U18;00-02;960;9;0,5;1797;16
2020-U18;03-05;720;9;0,0;1321;16
2020-U18;06-11;1035;10;0,0;3971;39
2020-U18;12-15;656;12;0,4;1796;32
2020-U18;16-19;928;12;0,4;2578;33
2020-U18;20-39;1791;21;1,2;26601;314
2020-U18;40-64;2278;19;1,5;43569;368
2020-U18;65-79;1468;9;3,6;13087;84
2020-U18;80+;2008;28;15,2;5549;77
2020-U19;00-02;791;8;0,5;1482;15
2020-U19;03-05;534;3;0,0;980;5
2020-U19;06-11;686;7;0,0;2625;28
2020-U19;12-15;535;9;0,4;1462;25
2020-U19;16-19;885;8;0,4;2456;21
2020-U19;20-39;1568;14;0,5;23288;203
2020-U19;40-64;1882;14;1,2;35995;263
2020-U19;65-79;1352;7;2,8;12077;61
2020-U19;80+;2058;14;7,9;5705;38
2020-U20;00-02;900;5;0,0;1686;9
2020-U20;03-05;608;5;0,0;1116;9
2020-U20;06-11;713;4;0,0;2728;17
2020-U20;12-15;661;5;0,0;1808;13
2020-U20;16-19;944;9;0,0;2619;24
2020-U20;20-39;1558;10;0,3;23144;151
2020-U20;40-64;1810;8;1,3;34608;147
2020-U20;65-79;1418;4;1,5;12664;39
2020-U20;80+;2068;9;6,9;5734;24
2020-U21;00-02;889;5;0,0;1666;9
2020-U21;03-05;597;4;0,0;1097;8
2020-U21;06-11;531;4;0,0;2031;17
2020-U21;12-15;582;3;0,0;1591;8
2020-U21;16-19;1258;4;0,0;3489;12
2020-U21;20-39;1874;9;0,5;27844;136
2020-U21;40-64;1503;7;1,0;28737;139
2020-U21;65-79;1291;4;2,7;11528;34
2020-U21;80+;1696;8;4,0;4702;21
2020-U22;00-02;1018;3;1,1;1907;6
2020-U22;03-05;680;2;0,0;1248;4
2020-U22;06-11;594;3;0,0;2273;11
2020-U22;12-15;799;2;0,0;2185;5
2020-U22;16-19;1078;7;0,4;2992;20
2020-U22;20-39;1692;6;0,5;25131;96
2020-U22;40-64;1648;5;0,5;31522;95
2020-U22;65-79;1782;4;1,6;15922;40
2020-U22;80+;1875;8;5,0;5198;23
2020-U23;00-02;1094;3;0,5;2035;6
2020-U23;03-05;738;3;0,0;1349;5
2020-U23;06-11;541;3;0,0;2058;12
2020-U23;12-15;626;4;0,0;1708;10
2020-U23;16-19;1004;3;0,0;2765;8
2020-U23;20-39;1445;5;0,2;21254;80
2020-U23;40-64;1348;4;0,7;25711;85
2020-U23;65-79;1480;3;0,9;13204;30
2020-U23;80+;1698;4;3,2;4719;12
2020-U24;00-02;1879;2;0,0;3495;3
2020-U24;03-05;1510;3;0,0;2761;5
2020-U24;06-11;1102;5;0,3;4194;19
2020-U24;12-15;999;1;0,0;2724;4
2020-U24;16-19;1199;4;0,0;3303;12
2020-U24;20-39;2079;6;0,1;30575;86
2020-U24;40-64;1558;5;0,3;29698;87
2020-U24;65-79;1564;4;0,7;13956;38
2020-U24;80+;1768;6;1,8;4913;17
2020-U25;00-02;2205;1;0,0;4101;2
2020-U25;03-05;2004;2;0,0;3664;4
2020-U25;06-11;1624;4;0,0;6185;15
2020-U25;12-15;1333;5;0,0;3635;13
2020-U25;16-19;1480;6;0,0;4077;17
2020-U25;20-39;2437;7;0,5;35853;103
2020-U25;40-64;1836;7;0,5;35007;126
2020-U25;65-79;1637;4;1,5;14606;32
2020-U25;80+;2036;4;1,4;5659;10
2020-U26;00-02;2009;4;0,5;3736;8
2020-U26;03-05;1670;2;0,0;3054;4
2020-U26;06-11;1586;2;0,3;6039;9
2020-U26;12-15;1346;3;0,0;3672;7
2020-U26;16-19;1337;1;0,0;3682;4
2020-U26;20-39;2326;4;0,3;34207;55
2020-U26;40-64;1860;3;0,3;35463;49
2020-U26;65-79;1875;4;1,6;16728;40
2020-U26;80+;2449;6;2,2;6806;16
2020-U27;00-02;1422;1;0,0;2645;2
2020-U27;03-05;1005;1;0,0;1838;1
2020-U27;06-11;875;1;0,0;3333;5
2020-U27;12-15;934;1;0,0;2547;4
2020-U27;16-19;1575;2;0,0;4338;6
2020-U27;20-39;2138;3;0,0;31447;43
2020-U27;40-64;1757;2;0,2;33497;41
2020-U27;65-79;1797;1;0,4;16037;13
2020-U27;80+;2484;3;2,5;6903;8
2020-U28;00-02;1104;2;0,5;2046;3
2020-U28;03-05;740;0;0,0;1358;0
2020-U28;06-11;604;2;0,0;2296;6
2020-U28;12-15;873;2;0,0;2383;6
2020-U28;16-19;1630;5;0,0;4480;13
2020-U28;20-39;2113;5;0,2;31064;69
2020-U28;40-64;1698;3;0,3;32360;59
2020-U28;65-79;1722;1;0,6;15377;11
2020-U28;80+;2153;2;1,4;6007;5
2020-U29;00-02;1012;2;0,0;1875;3
2020-U29;03-05;650;1;0,0;1193;2
2020-U29;06-11;656;3;0,0;2493;12
2020-U29;12-15;1152;5;0,0;3146;14
2020-U29;16-19;1959;7;0,0;5383;20
2020-U29;20-39;2292;6;0,0;33695;84
2020-U29;40-64;1797;5;0,4;34242;98
2020-U29;65-79;1681;3;0,6;15014;23
2020-U29;80+;1976;4;1,8;5513;12
2020-U30;00-02;816;1;0,0;1513;2
2020-U30;03-05;528;3;0,0;969;5
2020-U30;06-11;564;2;0,0;2144;8
2020-U30;12-15;1349;5;0,0;3684;14
2020-U30;16-19;2129;6;0,0;5851;17
2020-U30;20-39;2386;5;0,1;35079;68
2020-U30;40-64;1959;5;0,5;37329;101
2020-U30;65-79;1743;2;0,8;15568;22
2020-U30;80+;1958;2;1,4;5463;6
2020-U31;00-02;874;2;0,0;1619;4
2020-U31;03-05;653;3;0,0;1199;5
2020-U31;06-11;706;2;0,0;2682;8
2020-U31;12-15;1620;7;0,0;4425;18
2020-U31;16-19;2536;8;0,0;6968;23
2020-U31;20-39;2816;14;0,4;41398;210
2020-U31;40-64;2516;10;0,6;47953;182
2020-U31;65-79;2160;3;0,3;19292;29
2020-U31;80+;2322;2;1,8;6477;6
2020-U32;00-02;1425;4;0,5;2648;7
2020-U32;03-05;1114;9;0,0;2046;16
2020-U32;06-11;1047;12;0,0;3974;47
2020-U32;12-15;2479;18;0,0;6770;50
2020-U32;16-19;3935;28;0,0;10806;76
2020-U32;20-39;3728;23;0,5;54783;339
2020-U32;40-64;3146;15;0,7;59961;292
2020-U32;65-79;2443;6;0,9;21863;52
2020-U32;80+;2380;3;1,1;6657;7
2020-U33;00-02;2136;6;0,0;3971;11
2020-U33;03-05;1935;8;0,0;3555;14
2020-U33;06-11;1962;14;0,0;7451;52
2020-U33;12-15;3062;21;0,0;8361;58
2020-U33;16-19;4559;39;0,0;12519;107
2020-U33;20-39;4907;24;0,1;72117;358
2020-U33;40-64;3882;13;0,7;74004;248
2020-U33;65-79;2964;4;0,8;26523;39
2020-U33;80+;2691;3;1,1;7527;9
2020-U34;00-02;2653;6;0,0;4932;11
2020-U34;03-05;2948;8;0,0;5416;15
2020-U34;06-11;4209;13;0,0;15983;49
2020-U34;12-15;5574;14;0,4;15220;39
2020-U34;16-19;6115;27;0,7;16793;73
2020-U34;20-39;5178;17;0,7;76102;256
2020-U34;40-64;4052;8;0,5;77246;146
2020-U34;65-79;2670;3;0,6;23897;23
2020-U34;80+;2416;3;1,8;6758;9
2020-U35;00-02;2702;3;0,5;5023;5
2020-U35;03-05;2893;3;0,0;5314;6
2020-U35;06-11;4628;5;0,3;17572;20
2020-U35;12-15;6016;12;0,0;16427;32
2020-U35;16-19;6277;19;0,0;17238;53
2020-U35;20-39;5080;17;0,1;74660;250
2020-U35;40-64;4045;10;0,5;77099;182
2020-U35;65-79;2606;5;1,0;23324;42
2020-U35;80+;2406;3;1,1;6732;8
2020-U36;00-02;2500;8;0,5;4652;14
2020-U36;03-05;2264;9;0,0;4163;17
2020-U36;06-11;4328;13;0,3;16393;50
2020-U36;12-15;6902;27;0,0;18897;75
2020-U36;16-19;6355;27;0,4;17434;73
2020-U36;20-39;5631;38;0,7;82713;559
2020-U36;40-64;4318;21;0,9;82290;397
2020-U36;65-79;2573;9;1,3;23029;84
2020-U36;80+;2371;6;0,7;6655;17
2020-U37;00-02;2843;17;0,0;5289;31
2020-U37;03-05;2793;14;0,0;5136;25
2020-U37;06-11;5157;36;0,3;19536;137
2020-U37;12-15;8727;62;0,0;23895;171
2020-U37;16-19;9150;57;1,5;25101;156
2020-U37;20-39;7074;49;0,7;103915;714
2020-U37;40-64;5880;40;1,5;112044;766
2020-U37;65-79;3274;21;2,7;29309;184
2020-U37;80+;2910;15;3,9;8168;43
2020-U38;00-02;2947;11;0,5;5483;21
2020-U38;03-05;2819;18;0,0;5183;33
2020-U38;06-11;4732;35;0,0;17924;131
2020-U38;12-15;8687;52;0,7;23784;142
2020-U38;16-19;10742;113;0,4;29470;309
2020-U38;20-39;7604;81;1,1;111700;1196
2020-U38;40-64;6262;55;2,0;119332;1054
2020-U38;65-79;3617;25;3,6;32377;225
2020-U38;80+;3279;25;8,2;9204;71
2020-U39;00-02;2814;18;0,5;5235;33
2020-U39;03-05;3085;30;0,0;5673;56
2020-U39;06-11;4538;57;0,0;17189;215
2020-U39;12-15;7408;74;0,7;20283;203
2020-U39;16-19;10366;139;0,4;28437;382
2020-U39;20-39;7727;88;1,3;113500;1299
2020-U39;40-64;6315;59;2,2;120345;1124
2020-U39;65-79;3621;26;4,6;32417;230
2020-U39;80+;3371;26;10,0;9461;74
2020-U40;00-02;2438;20;0,5;4536;38
2020-U40;03-05;2670;30;0,0;4910;56
2020-U40;06-11;3721;43;0,0;14095;162
2020-U40;12-15;6454;66;0,4;17672;180
2020-U40;16-19;8081;104;0,4;22169;284
2020-U40;20-39;6736;62;0,7;98956;911
2020-U40;40-64;5671;49;2,8;108063;926
2020-U40;65-79;3403;23;4,1;30461;202
2020-U40;80+;3218;15;8,6;9032;43
2020-U41;00-02;2255;15;0,5;4226;28
2020-U41;03-05;2842;16;0,0;5258;29
2020-U41;06-11;3946;34;0,3;14963;129
2020-U41;12-15;5954;72;0,4;16362;197
2020-U41;16-19;7386;85;0,4;20396;235
2020-U41;20-39;6380;57;1,1;94641;850
2020-U41;40-64;5645;49;2,1;107808;928
2020-U41;65-79;3148;24;2,8;28241;213
2020-U41;80+;2985;25;7,8;8414;70
2020-U42;00-02;1873;19;0,0;3510;35
2020-U42;03-05;2004;22;0,0;3709;41
2020-U42;06-11;2578;37;0,0;9775;142
2020-U42;12-15;3763;62;0,0;10341;170
2020-U42;16-19;5604;95;0,4;15475;262
2020-U42;20-39;5395;74;1,1;80029;1095
2020-U42;40-64;4489;54;2,5;85736;1039
2020-U42;65-79;2774;32;4,9;24882;287
2020-U42;80+;2953;27;11,0;8324;77
2020-U43;00-02;2365;40;1,1;4432;75
2020-U43;03-05;2809;43;0,0;5198;80
2020-U43;06-11;3748;78;0,3;14212;295
2020-U43;12-15;5900;111;0,0;16215;304
2020-U43;16-19;9269;226;0,7;25595;625
2020-U43;20-39;7335;137;1,6;108809;2035
2020-U43;40-64;6467;98;2,6;123505;1878
2020-U43;65-79;3686;44;5,4;33061;394
2020-U43;80+;3516;33;11,7;9910;92
2020-U44;00-02;3599;45;0,5;6746;85
2020-U44;03-05;5020;59;0,0;9289;109
2020-U44;06-11;7490;125;0,5;28400;474
2020-U44;12-15;11455;211;1,1;31481;581
