"Uge";"Region";"Antal reinfektioner";"Reinfektioner pr. 100.000 borgere"
2020-U21;Hovedstaden;2;0,11
2020-U21;Midtjylland;1;0,07
2020-U21;Syddanmark;1;0,08
2020-U23;Hovedstaden;1;0,05
2020-U23;Syddanmark;1;0,08
2020-U24;Hovedstaden;4;0,22
2020-U24;Midtjylland;2;0,15
2020-U24;Syddanmark;1;0,08
2020-U25;Hovedstaden;5;0,27
2020-U25;Midtjylland;1;0,08
2020-U25;Sjælland;1;0,12
2020-U25;Syddanmark;1;0,08
2020-U26;Hovedstaden;3;0,16
2020-U26;Sjælland;1;0,12
2020-U27;Hovedstaden;4;0,22
2020-U27;Midtjylland;1;0,08
2020-U27;Sjælland;2;0,24
2020-U28;Hovedstaden;2;0,11
2020-U28;Sjælland;2;0,24
2020-U29;Hovedstaden;4;0,22
2020-U29;Nordjylland;1;0,17
2020-U29;Sjælland;1;0,12
2020-U30;Hovedstaden;3;0,16
2020-U30;Sjælland;1;0,12
2020-U31;Hovedstaden;2;0,11
2020-U32;Hovedstaden;1;0,05
2020-U32;Midtjylland;1;0,08
2020-U33;Hovedstaden;6;0,32
2020-U33;Midtjylland;1;0,08
2020-U33;Syddanmark;1;0,08
2020-U34;Hovedstaden;2;0,11
2020-U35;Hovedstaden;4;0,22
2020-U35;Sjælland;1;0,12
2020-U36;Hovedstaden;2;0,11
2020-U36;Midtjylland;1;0,08
2020-U36;Nordjylland;1;0,17
2020-U36;Syddanmark;1;0,08
2020-U37;Hovedstaden;2;0,11
2020-U38;Hovedstaden;4;0,22
2020-U39;Hovedstaden;5;0,27
2020-U39;Sjælland;2;0,24
2020-U40;Hovedstaden;1;0,05
2020-U40;Sjælland;1;0,12
2020-U41;Hovedstaden;2;0,11
2020-U41;Midtjylland;1;0,07
2020-U41;Sjælland;1;0,12
2020-U42;Hovedstaden;1;0,05
2020-U42;Midtjylland;1;0,07
2020-U43;Hovedstaden;1;0,05
2020-U43;Midtjylland;2;0,15
2020-U43;Nordjylland;1;0,17
2020-U44;Hovedstaden;2;0,11
2020-U44;Midtjylland;3;0,22
2020-U44;Nordjylland;2;0,34
2020-U44;Syddanmark;1;0,08
2020-U45;Hovedstaden;5;0,27
2020-U45;Syddanmark;1;0,08
2020-U46;Hovedstaden;2;0,11
2020-U46;Midtjylland;3;0,22
2020-U47;Hovedstaden;6;0,32
2020-U47;Sjælland;2;0,24
2020-U47;Syddanmark;1;0,08
2020-U48;Hovedstaden;5;0,27
2020-U48;Midtjylland;4;0,30
2020-U48;Sjælland;3;0,36
2020-U49;Hovedstaden;10;0,27
2020-U49;Midtjylland;1;0,04
2020-U50;Hovedstaden;11;0,30
2020-U50;Midtjylland;2;0,08
2020-U50;Sjælland;4;0,24
2020-U50;Syddanmark;2;0,08
2020-U51;Hovedstaden;22;0,59
2020-U51;Midtjylland;3;0,11
2020-U51;Nordjylland;1;0,08
2020-U51;Sjælland;2;0,12
2020-U51;Syddanmark;3;0,12
2020-U52;Hovedstaden;16;0,43
2020-U52;Midtjylland;5;0,19
2020-U52;Sjælland;2;0,12
2020-U52;Syddanmark;4;0,16
2020-U53;Hovedstaden;16;0,43
2020-U53;Midtjylland;6;0,23
2020-U53;Nordjylland;1;0,08
2020-U53;Sjælland;1;0,06
2020-U53;Syddanmark;4;0,16
2021-U01;Hovedstaden;12;0,65
2021-U01;Midtjylland;4;0,30
2021-U01;Nordjylland;4;0,68
2021-U01;Sjælland;2;0,24
2021-U01;Syddanmark;2;0,16
2021-U02;Hovedstaden;16;0,87
2021-U02;Midtjylland;3;0,23
2021-U02;Nordjylland;6;1,02
2021-U02;Sjælland;6;0,72
2021-U02;Syddanmark;3;0,25
2021-U03;Hovedstaden;12;0,65
2021-U03;Midtjylland;2;0,15
2021-U03;Nordjylland;4;0,68
2021-U03;Sjælland;1;0,12
2021-U03;Syddanmark;9;0,74
2021-U04;Hovedstaden;17;0,92
2021-U04;Midtjylland;7;0,53
2021-U04;Nordjylland;2;0,34
2021-U04;Sjælland;3;0,36
2021-U04;Syddanmark;3;0,25
2021-U05;Hovedstaden;22;1,19
2021-U05;Midtjylland;5;0,38
2021-U05;Sjælland;2;0,24
2021-U05;Syddanmark;3;0,25
2021-U06;Hovedstaden;12;0,65
2021-U06;Midtjylland;4;0,30
2021-U06;Nordjylland;3;0,51
2021-U06;Sjælland;2;0,24
2021-U06;Syddanmark;7;0,57
2021-U07;Hovedstaden;22;1,19
2021-U07;Midtjylland;8;0,60
2021-U07;Sjælland;7;0,84
2021-U07;Syddanmark;6;0,49
2021-U08;Hovedstaden;29;1,57
2021-U08;Midtjylland;10;0,75
2021-U08;Nordjylland;3;0,51
2021-U08;Sjælland;2;0,24
2021-U08;Syddanmark;7;0,57
2021-U09;Hovedstaden;34;1,84
2021-U09;Midtjylland;5;0,38
2021-U09;Nordjylland;3;0,51
2021-U09;Sjælland;5;0,60
2021-U09;Syddanmark;10;0,82
