År;Uge;Bekæftede tilfælde beboere;Dødsfald blandt bekæftede beboere;Bekræftede tilfælde blandt beboere med 2. stik;Bekræftede tilfælde blandt beboere med 3. stik;Plejehjem med bekæftede tilfælde;Testede beboere;Plejehjem med testede beboere
2020;11;     7;    0;    0;     0;  6;    118;107
2020;12;    24;    3;    0;     0; 16;    254;190
2020;13;    68;   15;    0;     0; 31;    431;248
2020;14;   144;   35;    0;     0; 43;  1.133;360
2020;15;    85;   37;    0;     0; 34;    704;337
2020;16;    78;   30;    0;     0; 35;    916;343
2020;17;    80;   26;    0;     0; 35;  2.278;457
2020;18;    37;   25;    0;     0; 22;  2.464;483
2020;19;    20;   20;    0;     0; 15;  3.093;492
2020;20;    11;    9;    0;     0;  9;  2.524;475
2020;21;     7;    3;    0;     0;  4;  1.615;484
2020;22;    10;    4;    0;     0;  3;  1.528;429
2020;23;     3;    4;    0;     0;  2;  1.257;453
2020;24;    15;    1;    0;     0;  2;  1.054;439
2020;25;     7;    1;    0;     0;  5;  1.890;489
2020;26;     2;    2;    0;     0;  2;  1.923;504
2020;27;     4;    1;    0;     0;  3;  1.705;507
2020;28;     1;    1;    0;     0;  1;  1.529;481
2020;29;     5;    0;    0;     0;  2;  1.198;501
2020;30;     2;    1;    0;     0;  2;  1.243;481
2020;31;     0;    0;    0;     0;  0;  1.574;502
2020;32;     1;    2;    0;     0;  1;  1.609;545
2020;33;     0;    1;    0;     0;  0;  1.465;554
2020;34;     1;    0;    0;     0;  1;  1.335;545
2020;35;     0;    0;    0;     0;  0;  1.299;496
2020;36;     3;    0;    0;     0;  3;  1.331;535
2020;37;    15;    0;    0;     0;  8;  2.156;564
2020;38;    19;    5;    0;     0;  8;  2.950;572
2020;39;    21;    3;    0;     0; 10;  3.139;566
2020;40;    12;    5;    0;     0;  6;  2.968;571
2020;41;    13;    3;    0;     0; 11;  2.624;547
2020;42;    14;    7;    0;     0;  8;  2.668;523
2020;43;    28;    7;    0;     0; 11;  3.586;558
2020;44;    30;    2;    0;     0; 18;  4.628;567
2020;45;    33;    8;    0;     0; 20;  5.445;576
2020;46;    51;    8;    0;     0; 20;  5.691;568
2020;47;    84;   10;    0;     0; 29;  6.905;603
2020;48;    96;   11;    0;     0; 25;  6.376;592
2020;49;   118;   21;    0;     0; 36;  7.391;645
2020;50;   217;   22;    0;     0; 59;  7.807;611
2020;51;   318;   48;    0;     0;104; 10.143;659
2020;52;   407;   62;    0;     0;117; 10.190;621
2020;53;   472;   87;    0;     0;129; 11.278;619
2021;1;   469;   80;    0;     0;127; 11.968;644
